"tanggal";"periode";"id";"nomor";"transaksi";"referensi";"model";"rekening";"debet";"credit";"pembayaran_";"bunga_";"denda_";"titipan_";"administrasi_";"modal_";"pinjaman_";"biaya_";"kantor";"keterangan";"active";"ip";"status";"user";"created";"modified"
"2018-11-01 19:41:21";"2018.11";"1809030007/PB/";"3";;;"1.1001";"3.1000";"147000";"0";"0";"147000";"0";"0";"0";"0";"0";"0";"KSP123";"Pendapatan Bunga ke 2 Kontrak No. 60468 B";"yes";"192.168.0.4";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-03 20:54:49";"2018.09";"1809030007/PI/";"2";;;"1.1001";"1.2003";"0";"6240000";"0";"0";"0";"0";"0";"0";"6240000";"0";"KSP123";"Pinjaman Kontrak No. 60468 B";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-10-03 18:45:01";"2018.10";"1809040001/PA/";"2";;;"1.1001";"1.2003";"832000";"0";"832000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 1 Kontrak No. 60356 D";"yes";"192.168.0.2";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-11-03 18:16:45";"2018.11";"1809040001/PA/";"3";;;"1.1001";"1.2003";"832000";"0";"832000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 2 Kontrak No. 60356 D";"yes";"192.168.0.4";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-10-03 18:45:01";"2018.10";"1809040001/PB/";"2";;;"1.1001";"3.1000";"188000";"0";"0";"188000";"0";"0";"0";"0";"0";"0";"KSP123";"Pendapatan Bunga ke 1 Kontrak No. 60356 D";"yes";"192.168.0.2";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-11-03 18:16:45";"2018.11";"1809040001/PB/";"3";;;"1.1001";"3.1000";"188000";"0";"0";"188000";"0";"0";"0";"0";"0";"0";"KSP123";"Pendapatan Bunga ke 2 Kontrak No. 60356 D";"yes";"192.168.0.4";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-04 20:48:33";"2018.09";"1809040001/PI/";"2";;;"1.1001";"1.2003";"0";"8320000";"0";"0";"0";"0";"0";"0";"8320000";"0";"KSP123";"Pinjaman Kontrak No. 60356 D";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-29 19:54:55";"2018.09";"1809050001/PA/";"2";;;"1.1001";"1.2003";"650000";"0";"650000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 1 Kontrak No. 60538";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-10-31 19:25:08";"2018.10";"1809050001/PA/";"3";;;"1.1001";"1.2003";"650000";"0";"650000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 2 Kontrak No. 60538";"yes";"192.168.0.2";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-29 19:54:55";"2018.09";"1809050001/PB/";"2";;;"1.1001";"3.1000";"117000";"0";"0";"117000";"0";"0";"0";"0";"0";"0";"KSP123";"Pendapatan Bunga ke 1 Kontrak No. 60538";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-10-31 19:25:08";"2018.10";"1809050001/PB/";"3";;;"1.1001";"3.1000";"117000";"0";"0";"117000";"0";"0";"0";"0";"0";"0";"KSP123";"Pendapatan Bunga ke 2 Kontrak No. 60538";"yes";"192.168.0.2";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-10-31 19:25:08";"2018.10";"1809050001/PD/";"3";;;"1.1001";"5.3000";"6000";"0";"0";"0";"6000";"0";"0";"0";"0";"0";"KSP123";"Pendapatan Denda Kontrak No. 60538";"yes";"192.168.0.2";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-05 20:23:33";"2018.09";"1809050001/PI/";"2";;;"1.1001";"1.2003";"0";"5200000";"0";"0";"0";"0";"0";"0";"5200000";"0";"KSP123";"Pinjaman Kontrak No. 60538";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-28 19:50:03";"2018.09";"1809050002/PA/";"2";;;"1.1001";"1.2003";"1040000";"0";"1040000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 1 Kontrak No. 60289 D";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-10-31 19:29:13";"2018.10";"1809050002/PA/";"3";;;"1.1001";"1.2003";"1040000";"0";"1040000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 2 Kontrak No. 60289 D";"yes";"192.168.0.2";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-28 19:50:03";"2018.09";"1809050002/PB/";"2";;;"1.1001";"3.1000";"248000";"0";"0";"248000";"0";"0";"0";"0";"0";"0";"KSP123";"Pendapatan Bunga ke 1 Kontrak No. 60289 D";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
